File,invalid,tumor,TIL,TLS
/mnt/m/XJ-WSI-Cuted/D32174,3426,646,185,0
/mnt/m/XJ-WSI-Cuted/A18687,3787,363,106,1
/mnt/m/XJ-WSI-Cuted/B46230,3789,324,144,0
/mnt/m/XJ-WSI-Cuted/C26566,3710,393,154,0
/mnt/m/XJ-WSI-Cuted/D04509,3504,725,28,0
/mnt/m/XJ-WSI-Cuted/D04705,4048,84,123,2
/mnt/m/XJ-WSI-Cuted/D06370,3326,761,169,1
/mnt/m/XJ-WSI-Cuted/D09846,3989,263,5,0
/mnt/m/XJ-WSI-Cuted/D15183,3791,461,5,0
/mnt/m/XJ-WSI-Cuted/D17098,3632,457,166,2
/mnt/m/XJ-WSI-Cuted/D22139,3567,636,54,0
/mnt/m/XJ-WSI-Cuted/D23795,3912,155,182,8
/mnt/m/XJ-WSI-Cuted/D23909,3659,272,326,0
/mnt/m/XJ-WSI-Cuted/D26557,3182,854,218,3
/mnt/m/XJ-WSI-Cuted/D27019,3492,722,43,0
/mnt/m/XJ-WSI-Cuted/D27752,3909,285,60,3
/mnt/m/XJ-WSI-Cuted/D29362,3903,254,99,1
/mnt/m/XJ-WSI-Cuted/D29752,3659,577,20,1
/mnt/m/XJ-WSI-Cuted/D29856,3384,870,3,0
/mnt/m/XJ-WSI-Cuted/D29990,3727,370,153,7
/mnt/m/XJ-WSI-Cuted/D30450,3911,331,15,0
/mnt/m/XJ-WSI-Cuted/D34128,3342,339,570,6
/mnt/m/XJ-WSI-Cuted/D35131,3870,315,72,0
/mnt/m/XJ-WSI-Cuted/D36945,3836,301,120,0
/mnt/m/XJ-WSI-Cuted/D40667,3497,381,371,8
/mnt/m/XJ-WSI-Cuted/D41897,3578,638,41,0
/mnt/m/XJ-WSI-Cuted/D42230,3758,490,9,0
/mnt/m/XJ-WSI-Cuted/D42695,3672,585,0,0
/mnt/m/XJ-WSI-Cuted/D43297,3659,503,94,1
/mnt/m/XJ-WSI-Cuted/D45466,3886,285,85,1
/mnt/m/XJ-WSI-Cuted/D46633,3693,531,33,0
/mnt/m/XJ-WSI-Cuted/D53487,3554,522,181,0
/mnt/m/XJ-WSI-Cuted/D53617,3588,533,136,0
/mnt/m/XJ-WSI-Cuted/D54938,3799,400,57,1
/mnt/m/XJ-WSI-Cuted/D61662,3942,230,85,0
/mnt/m/XJ-WSI-Cuted/D61964,4036,145,75,1
/mnt/m/XJ-WSI-Cuted/D67818,3687,477,93,0
/mnt/m/XJ-WSI-Cuted/D70306,3725,504,28,0
/mnt/m/XJ-WSI-Cuted/D77382,3821,424,12,0
/mnt/m/XJ-WSI-Cuted/D78651,3312,709,223,13
/mnt/m/XJ-WSI-Cuted/D81787,3493,748,16,0
/mnt/m/XJ-WSI-Cuted/E12378,3987,138,132,0
/mnt/m/XJ-WSI-Cuted/E12913,3522,730,5,0
/mnt/m/XJ-WSI-Cuted/E13463,3655,356,246,0
/mnt/m/XJ-WSI-Cuted/E83603,3414,840,3,0
/mnt/m/XJ-WSI-Cuted/E84440,3744,463,50,0
/mnt/m/XJ-WSI-Cuted/E94533,3970,239,48,0
/mnt/m/XJ-WSI-Cuted/E94562,3906,312,39,0
/mnt/m/XJ-WSI-Cuted/E95883,3948,253,56,0
/mnt/m/XJ-WSI-Cuted/E99152,3876,102,277,2
