"","B.cell_TIMER","T.cell.CD4._TIMER","T.cell.CD8._TIMER","Neutrophil_TIMER","Macrophage_TIMER","Myeloid.dendritic.cell_TIMER","B.cell.naive_CIBERSORT","B.cell.memory_CIBERSORT","B.cell.plasma_CIBERSORT","T.cell.CD8._CIBERSORT","T.cell.CD4..naive_CIBERSORT","T.cell.CD4..memory.resting_CIBERSORT","T.cell.CD4..memory.activated_CIBERSORT","T.cell.follicular.helper_CIBERSORT","T.cell.regulatory..Tregs._CIBERSORT","T.cell.gamma.delta_CIBERSORT","NK.cell.resting_CIBERSORT","NK.cell.activated_CIBERSORT","Monocyte_CIBERSORT","Macrophage.M0_CIBERSORT","Macrophage.M1_CIBERSORT","Macrophage.M2_CIBERSORT","Myeloid.dendritic.cell.resting_CIBERSORT","Myeloid.dendritic.cell.activated_CIBERSORT","Mast.cell.activated_CIBERSORT","Mast.cell.resting_CIBERSORT","Eosinophil_CIBERSORT","Neutrophil_CIBERSORT","B.cell.naive_CIBERSORT.ABS","B.cell.memory_CIBERSORT.ABS","B.cell.plasma_CIBERSORT.ABS","T.cell.CD8._CIBERSORT.ABS","T.cell.CD4..naive_CIBERSORT.ABS","T.cell.CD4..memory.resting_CIBERSORT.ABS","T.cell.CD4..memory.activated_CIBERSORT.ABS","T.cell.follicular.helper_CIBERSORT.ABS","T.cell.regulatory..Tregs._CIBERSORT.ABS","T.cell.gamma.delta_CIBERSORT.ABS","NK.cell.resting_CIBERSORT.ABS","NK.cell.activated_CIBERSORT.ABS","Monocyte_CIBERSORT.ABS","Macrophage.M0_CIBERSORT.ABS","Macrophage.M1_CIBERSORT.ABS","Macrophage.M2_CIBERSORT.ABS","Myeloid.dendritic.cell.resting_CIBERSORT.ABS","Myeloid.dendritic.cell.activated_CIBERSORT.ABS","Mast.cell.activated_CIBERSORT.ABS","Mast.cell.resting_CIBERSORT.ABS","Eosinophil_CIBERSORT.ABS","Neutrophil_CIBERSORT.ABS","B.cell_QUANTISEQ","Macrophage.M1_QUANTISEQ","Macrophage.M2_QUANTISEQ","Monocyte_QUANTISEQ","Neutrophil_QUANTISEQ","NK.cell_QUANTISEQ","T.cell.CD4...non.regulatory._QUANTISEQ","T.cell.CD8._QUANTISEQ","T.cell.regulatory..Tregs._QUANTISEQ","Myeloid.dendritic.cell_QUANTISEQ","uncharacterized.cell_QUANTISEQ","Myeloid.dendritic.cell.activated_XCELL","B.cell_XCELL","T.cell.CD4..memory_XCELL","T.cell.CD4..naive_XCELL","T.cell.CD4...non.regulatory._XCELL","T.cell.CD4..central.memory_XCELL","T.cell.CD4..effector.memory_XCELL","T.cell.CD8..naive_XCELL","T.cell.CD8._XCELL","T.cell.CD8..central.memory_XCELL","T.cell.CD8..effector.memory_XCELL","Class.switched.memory.B.cell_XCELL","Common.lymphoid.progenitor_XCELL","Common.myeloid.progenitor_XCELL","Myeloid.dendritic.cell_XCELL","Endothelial.cell_XCELL","Eosinophil_XCELL","Cancer.associated.fibroblast_XCELL","Granulocyte.monocyte.progenitor_XCELL","Hematopoietic.stem.cell_XCELL","Macrophage_XCELL","Macrophage.M1_XCELL","Macrophage.M2_XCELL","Mast.cell_XCELL","B.cell.memory_XCELL","Monocyte_XCELL","B.cell.naive_XCELL","Neutrophil_XCELL","NK.cell_XCELL","T.cell.NK_XCELL","Plasmacytoid.dendritic.cell_XCELL","B.cell.plasma_XCELL","T.cell.gamma.delta_XCELL","T.cell.CD4..Th1_XCELL","T.cell.CD4..Th2_XCELL","T.cell.regulatory..Tregs._XCELL","immune.score_XCELL","stroma.score_XCELL","microenvironment.score_XCELL","B.cell_EPIC","Cancer.associated.fibroblast_EPIC","T.cell.CD4._EPIC","T.cell.CD8._EPIC","Endothelial.cell_EPIC","Macrophage_EPIC","NK.cell_EPIC","uncharacterized.cell_EPIC","T.cell_MCPCOUNTER","T.cell.CD8._MCPCOUNTER","cytotoxicity.score_MCPCOUNTER","NK.cell_MCPCOUNTER","B.cell_MCPCOUNTER","Monocyte_MCPCOUNTER","Macrophage.Monocyte_MCPCOUNTER","Myeloid.dendritic.cell_MCPCOUNTER","Neutrophil_MCPCOUNTER","Endothelial.cell_MCPCOUNTER","Cancer.associated.fibroblast_MCPCOUNTER"
"TCGA.CC.A5UC.01A.11R.A28V.07",0.107077715529967,0.114433695985981,0.211066804703957,0.120293010788595,0.0461737963139019,0.507106462471799,0.113415760849428,0,0.0511441612445847,0.0582724626046607,0,0.170915667052836,0,0,0.0734915859221544,0,0.0051265412703425,0.0196725327358921,0.0269623099335098,0.123192703645957,0.075373508211776,0.24662144401246,0.00966000483520053,0,0.0261513176811992,0,0,0,0.803421658283953,0,0.362298207329564,0.412794114217349,0,1.21074308916026,0,0,0.520604291584161,0,0.036315713599522,0.139357517464431,0.190997296986838,0.872680176991628,0.533935570370861,1.74703240566299,0.0684301462653988,0,0.185252339360783,0,0,0,0.0110577905003138,0.00832518621556192,0.0238866338894101,0,0.0842580819723567,0.0159213278758304,0,0,0.00397284571696832,0.00286105163739315,0.849717082192166,0.0787172190743441,2.51289465879575e-18,0.00242222851119383,0,0,0,0,0.0051565753414532,3.98659959171904e-18,3.87033743414769e-20,9.01633703819144e-19,1.21923138916591e-18,0.04278534581281,2.22985015679724e-18,2.2997516008956e-19,0.089616921608409,7.85142079205538e-18,0.0304206298795502,1.92861007632363e-19,0.182106543135915,0.0484016740448159,0.0363733322520605,0.0144941915151086,0,0,0,2.89710241247572e-18,0,0,0,1.30502779614423e-18,0.0104258744849222,0,0.086854080921632,0.115794525311584,0,0.032267782696544,0.0862169045250021,0.118484687221546,0.0336236580821673,0.0121302378816289,0.160124853171326,0.083861852165408,0.125664707549711,0.00879124926600067,1.00495122448802e-08,0.575803431834246,4.90761964966287,4.93835620842945,3.90066400601359,1.85999101390311,6.17109803999281,9.45067354810841,9.45067354810841,4.38969479843966,6.78767002566444,8.96163264351907,11.630504370276
"TCGA.DD.AAEI.01A.11R.A41C.07",0.0961275924487376,0.117224000730687,0.217452477577735,0.120843895261637,0.0504484476404135,0.510346667330336,0.0153681044314481,0,0.00418619707680933,0.0099234591876905,0,0.260576775901767,0,0,0.0606537971624799,0,0.0123037524179472,0.0181495994420791,0.0135933110875181,0.0804484494051809,0.0950634588498499,0.357626025104642,0.00629386734135261,0,0.0658132025912349,0,0,0,0.129555809232976,0,0.0352903737942421,0.0836564972073471,0,2.1967078125908,0,0,0.511322122353475,0,0.103722785605715,0.153004298836051,0.114593990817451,0.678194504124948,0.801401590854334,3.01484996356436,0.0530584028922495,0,0.554816812831732,0,0,0,0.00771206162123195,0.0164098649386973,0.0268459517189336,0,0.149906274542438,0.0243191892647459,0,0,0.00105958397310738,0,0.773747073940846,0.107971387013718,0.00312406794999434,0.00808476451719242,0,0,4.9855969270047e-19,0.0180206712485484,0.00619313422731331,6.15021568280149e-20,0.0268544370809741,4.40028437218379e-20,0.011404048104522,0.00986338451524343,2.72384451115095e-18,0,0.0322486230328928,1.20792623095153e-18,4.77462094510298e-18,3.3667492363632e-18,0.0647758814146048,0.0684117837114613,0.0204105807623059,0.0755028448866619,0.00254507194470511,6.57096822536051e-18,2.78868227436658e-18,0,0,0,0.00635878204938723,0.0142573015265667,0.0178398006157461,3.58648296368333e-18,0.0406460125357964,0.118921216811606,0.00089981305736604,0.0493872824041071,0.0633458683212174,0.112733150725325,0.0172727072421885,0.00830773923003496,0.162552195438896,0.096864421151339,0.121262948275016,0.00928544733367714,6.04683845006069e-10,0.584454540724164,5.55630116205697,5.49064513815258,4.54605501855967,3.61619162420209,2.81108825164259,9.92436056888697,9.92436056888697,4.0073254030505,6.61685984880923,8.20644412773484,8.67089159257021
"TCGA.G3.A7M6.01A.11R.A33R.07",0.103258760536647,0.126227558924588,0.196170530289865,0.120199637627533,0.0415918826429211,0.500025034318968,0,0.0844574892482805,0.043860074751212,0.0606890903548417,0,0.386395387683362,0,0,0.016814276753098,0,0.0195064750124074,0.0170602821908303,0.0239359468826161,0.111502019504249,0.0728512026969559,0.149206760795044,0,0,0.0137209941271034,0,0,0,0,0.350054560953623,0.181788724091643,0.251540663450061,0,1.60150945752579,0,0,0.0696908506154562,0,0.0808493196636211,0.0707104798545454,0.0992083408064844,0.462147179964825,0.301949489642749,0.61842363070821,0,0,0.056869990071463,0,0,0,0.0167999268683715,0.0177408938328664,0.0133310939109267,0,0.050915925755221,0.0276746916975785,0,0,0.00514620865365042,0.00799291738573471,0.860398341895651,0.0280561420370941,4.70807668614019e-19,0,0,2.03171803025436e-18,0.0156423868653167,0,0,0.0023492932615573,0,1.34447740040641e-17,0.00146021075635085,0.00144866666260848,0,0,0.0374786319194039,6.24052627323136e-18,0.0536836219979769,0,0.120662491605606,2.02645951010375e-19,0.00122972356855766,0.00092843442726793,0.0081828841796898,0,0,0,0,8.65339302442772e-19,0.0580958861922181,6.03357354554398e-19,0.00043541718696388,0,0.0178109897594807,5.00565882916087e-19,8.26650634617954e-19,0.00702145162749807,0.0689116330092009,0.075933084636699,0.0289368365890444,0.0109942486879402,0.166449760549738,0.0767028546758537,0.1222535891856,0.00769479928838116,3.41123545623765e-10,0.586967910682319,4.56722574120731,4.8005420779373,3.02916525474777,1.40976888350041,6.25389203959535,8.20401628603764,8.20401628603764,4.92595421347504,6.58784840007128,8.52346402846384,11.1809185806347
"TCGA.DD.A1EL.01A.11R.A155.07",0.0996772846808586,0.111076893451213,0.205631600486557,0.120329547889272,0.042538805983162,0.510222930200599,0.00644375001361094,0,0.00121480611827154,0,0,0.200887366891131,0,0.00247478231079318,0.0842599026194081,0,0.0202576873929883,0.0144825425772777,0.0601139095226536,0.228399183268648,0.00697793006108472,0.188709667793069,0.0229126242954882,0,0.159191202143358,0,0.00367464499221846,0,0.0344952184929865,0,0.00650320114651854,0,0,1.07540696003926,0,0.0132482104912618,0.451067118512481,0,0.108445136963369,0.0775291514229956,0.321806780069286,1.22268550360113,0.0373548355503335,1.01021628842069,0.122657765998229,0,0.85219558308394,0,0.0196714151888245,0,0.00319969091735838,0,0.0327249668346093,0,0.176683092272738,0.0156441172590556,0,0,0,0,0.771748132716239,0.0765559652950613,0.0132718430883418,0.0148305108229249,0,0.00025776142613097,3.42715403621366e-18,0,0.00325952871981132,0.00743357989515471,0.00224803733122178,0,0,0.0230110383106503,0,3.05412729969214e-21,1.21013438614611e-19,0,1.76872776698665e-17,0.0101747121914384,0.00314408522458796,0.0355634114884894,0.0117944368296527,0.0194564831228644,0.0133952771283428,0.0024781144800417,0.00195156790658554,0.00052147408853267,0.00027855941809724,0,0,0.0119428433367032,0.0186839363021041,0,0.0593552443766815,0.140014871312947,4.99996173911468e-18,0.0481013335674283,0.015079888166439,0.0631812217338673,0.0165678791299432,0.00816093506739581,0.133534310017529,0.0855895141839297,0.1017410481829,0.00844929634700854,2.57686580631195e-09,0.645957014494428,4.33506574138708,4.77921897451848,3.09154008721327,2.12125663543551,3.07935482487394,9.28145401038882,9.28145401038882,5.3135969561691,6.04187685942345,7.46442100876907,8.2509432179704
"TCGA.DD.A4NB.01A.12R.A266.07",0.0991567290301344,0.117481639865187,0.2231692579119,0.123887030055595,0.0483727247356349,0.509827883019266,0.0137356357915425,0,0.00983213231402548,0.119767680643916,0,0.441794220618944,0,0,0,0,0.0316441461346207,0.0449539824752915,0.0264261365429347,0.0445054051601301,0.0543706664417805,0.203430912437821,0.00164915861159091,0,0,0.00788992282740254,0,0,0.102871188044581,0,0.0736364262641626,0.89698385893209,0,3.30875811182211,0,0,0,0,0.236994556125981,0.336676776725249,0.197914978444163,0.333317217543509,0.407201758733693,1.52356832731087,0.0123511505563337,0,0,0.0590905107817953,0,0,0.00899617913591731,0.0134423363616082,0.0324976843308414,0,0.159647490143998,0.0292962127691826,0,0,0.00228163417282222,0,0.75383846308563,0.0812836413452723,0,0,0.00305574013772554,0,8.43538124617351e-18,7.69724348240881e-18,1.10558882888979e-20,0.006834209527279,0.00472027428597908,0,0,0.00724957329956384,0,4.59741238058983e-19,0.135529144215003,0,0.265269313115734,0.00019939325657908,0.268792652654087,0.0467693073765112,0.0120854673702673,0.0231200737479265,3.37956303339095e-19,5.06464542957157e-18,1.92802265707923e-17,2.80454308895962e-18,0,1.20042422025404e-18,0,4.72463408578255e-18,0,0,7.48071760248719e-18,0.0242711408771837,0.00413970412837061,0.0357356779358601,0.248825795248143,0.284561473184003,0.0157329863796511,0.0149605993134303,0.194070848385368,0.093526848939959,0.13767808413338,0.00863004746945228,5.00981651340215e-10,0.535400584877777,5.64417200052816,5.62317512254533,4.57617339490773,2.32199726884594,3.41000285990954,9.22852126834677,9.22852126834677,4.98271614937696,7.28464814576839,9.56469237577611,13.5364025047907
"TCGA.DD.A39Y.01A.11R.A213.07",0.101513560005836,0.114263114494431,0.201516878722948,0.116896754317289,0.0419821309783445,0.507839643772248,0.0114297792380298,0,0.00765762847342058,0.0906404367737736,0,0.18149519473079,0,0.00383980502121601,0.124052363608498,0,0,0.0707334226750223,0.0079864600312621,0.0259435865018559,0.0190302652287751,0.40438906184606,0,0.0205007457446977,0.0323012501265985,0,0,0,0.0521575723926932,0,0.0349440967442193,0.413619987252557,0,0.828217987500594,0,0.0175222026775053,0.566088810697821,0,0,0.322778203928931,0.0364446555411954,0.118388506279662,0.0868409105417757,1.84535075689571,0,0.0935511621016735,0.147400466515306,0,0,0,0.00616116523491423,0.0499226028973496,0.0236398551225783,0,0.0484596001154825,0.0229941371443668,0,0,0.00463659154739636,0,0.844186047937912,0.0467662347651722,9.20881578630479e-22,0.00372717318320351,0,1.55505558144774e-21,7.29350905109753e-18,5.26968748234085e-20,0.0119815237177766,0,0,0,5.90822347902589e-19,0.0306675297971525,0,0,4.51406805241946e-18,0,0,0,0.0180775136847891,0.035121143881323,0.013955425586096,0.0223315950238312,0.00844845428677239,0,6.63225932839275e-18,0,0,0,0.0278467570559169,1.56031730120406e-19,0.0155078093987191,0,0.118612463225134,0.127482973945295,9.10095920249679e-18,0.0290463987787303,2.26865687649304e-18,0.0290463987787303,0.0176988908399973,0.00958378110999422,0.144502660142929,0.0816530500050372,0.0952926059304465,0.00834125201974059,4.76470914258374e-10,0.642927759475385,4.36585819955855,4.23831382501387,3.1781448942826,1.39070862950368,2.62628154843621,8.87710917611354,8.87710917611354,3.95938039669441,5.96584908195586,6.96342944115537,10.0251582045158
"TCGA.DD.AAC8.01A.11R.A41C.07",0.0977662125133997,0.11291260934125,0.205930194667637,0.124042747410354,0.0478929052592327,0.49993239210765,0.00859276324385007,0.00408186218880014,0.0128751005018304,0,0,0.15669069443124,0,0.00879360710964993,0.0758073946677818,0,0.0548354389842865,0.073616222688942,0.136546141131266,0.08497811767297,0.0149596859566061,0.276610913453209,0,0,0.0719575294957909,0,0,0.0196545284737776,0.0444394075470366,0.0211102682817143,0.0665864777339699,0,0,0.810361164511513,0,0.0454781167669131,0.392054989893003,0,0.283593804680636,0.380722851230507,0.706179076800521,0.439483446323503,0.0773673802169636,1.43055554611062,0,0,0.37214454635766,0,0,0.101647814120349,0.00812186218856178,0,0.0400090416973164,0,0.158294887400765,0.0250703159032439,0,0,0,0,0.768503892810113,0.105787395953706,0,0.0008008802645312,0,0,0.0086845779772228,0,0.00391259188133656,0,0,5.73156092333471e-18,0.00740345323305705,0.0158095119512475,0,0.00011427219840897,0.0338621921938003,3.85758587116248e-20,4.3695810781042e-18,0,0.0569396904404934,0.0252107349006644,1.36143808860855e-18,0.0240812572180384,0.0145062189536903,2.02646858068325e-18,0,0,0.00057933557434369,0,0.0259083371408246,0.0158569806690965,0.00841468980550773,0,0.0760836262801146,0,0.00495914540377137,0.0269403744180716,0.034261741902945,0.0612021163210166,0.0189439341055915,0.00875163464710844,0.159205905420762,0.072627496746638,0.119797694271747,0.00877518054672524,3.14172177010419e-10,0.611898153947255,4.10690852498756,3.60844116549445,4.15076981294517,2.78298521746281,3.24901687467379,8.65124041110076,8.65124041110076,3.8604488464322,6.84456049862335,8.19809250667819,9.32867183249806
"TCGA.DD.AACG.01A.11R.A41C.07",0.103446150653187,0.115756887322559,0.209979099722257,0.116915789075187,0.0473368463812361,0.509784188111394,0.0200383171207746,0.00788588158604079,0,0.00930357126965959,0,0.177194801102055,0,0,0.0725137554317711,0,0.031681051420957,0,0.00900339046462296,0.290936881177096,0.0126815318035317,0.334228889563441,0.0007685792506939,0,0.0337633498093567,0,0,0,0.125763082078273,0.0494928175448723,0,0.0583904222173538,0,1.11209759684547,0,0,0.455105751705815,0,0.198834395431795,0,0.0565064484787106,1.82595767132252,0.0795909414684486,2.09766394142544,0.00482370324843621,0,0.211903170696373,0,0,0,0.0146206844000613,0.0181856998436143,0.0433841360547301,0,0.0686877979564051,0.0387630716538087,0.00430647964458302,0,0.0001350985936872,0.00052613020994661,0.811390901643164,0.086111541779308,0.0175560739655331,0.00718120796103944,9.97643916231243e-20,0,2.72774832691751e-18,7.30519476465534e-18,0.0158077953977345,6.90625287670178e-19,0,7.09040666690233e-18,0,0.0436388097458595,0,0.0047239788534264,0.00711156910967924,0,0,0,0.011359724796654,0.043383636742984,0.0232185197662109,0.0283870000425776,0.00335184118185696,0.00366573780723132,2.89810024928232e-18,0.00319844415704015,5.84276003027698e-19,1.11611904695505e-17,0.00717843944808316,0.00284667073129203,0.00779022064130719,6.59273609406112e-19,0.0974421683995028,0.0946378401185612,2.05767628617007e-18,0.0460103538292003,0.036671756879008,0.0826821107082083,0.0260392067553527,0.00687782988826195,0.15803815482739,0.0872132989098339,0.10967128733403,0.00897387247447128,1.34120883197035e-10,0.603186349676539,5.14389313585704,5.75253578818142,4.01097975999296,1.37309854630338,4.016575356265,9.5391947605465,9.5391947605465,5.57099101451206,5.84360681526934,7.12943724459576,7.23567190893871
"TCGA.2Y.A9HA.01A.11R.A39D.07",0.0989424150058195,0.112016436155233,0.20468869518655,0.116420312964048,0.046158407174921,0.498677386167185,0.00995397981172857,0,0,0,0,0.203968993057817,0,0,0.0862415947941479,0,0.0544620533649471,0.0526040468556486,0.110142672045907,0.179727661563258,0.0425812344843339,0.057370544870351,0,0,0.19024660310604,0,0.0127006160458208,0,0.0358185109625816,0,0,0,0,0.733964278816378,0,0,0.310332707820539,0,0.195976854724834,0.189290983567707,0.396338608349983,0.646734003659264,0.153224784761997,0.206442802701555,0,0,0.684585479158638,0,0.0457020371422444,0,0.00956830426619601,0,0.031679622990346,0,0.128320747697943,0.0344257526537497,0,0,0,0,0.796005572391765,0.00506926443017752,0.00221553963064846,0.00280463040700242,0,0,1.85658846177178e-18,3.88622834864566e-18,0.00704566920757505,2.49502906994762e-19,2.31486964366247e-18,3.11854549157802e-18,0.00607604052236524,0.0216554549673637,0,1.65573736969029e-18,0.0413924126425559,3.57577417272651e-18,6.1544576876054e-18,0,0.0149756352269666,0.0144944296785565,0.00427645075388311,0.0230900262431131,0.0036153397526053,4.8606087869555e-18,5.84509349553351e-18,1.1167158412228e-18,0,2.73245317467102e-18,1.6019534050406e-19,0.00284642568463087,0.0173250418808046,0,0.057484402059764,0.00019058055757825,0,0.0135502060412069,0.0688664882268029,0.0824166942680098,0.0130521112306651,0.00921882902317517,0.148196571110354,0.0590765546779845,0.120749537363579,0.00807774197888786,2.19232250669182e-09,0.641628652423032,3.54374743773875,1.51164171837058,3.07786969621411,1.9124658361295,3.05239079548633,8.28003604469001,8.28003604469001,3.7020862493005,6.24870215453996,8.36315900899054,9.1822345683968
"TCGA.DD.AAVQ.01A.11R.A41C.07",0.120666850515954,0.130584275410791,0.220420381367431,0.123217606966234,0.0402795076261529,0.520011764030091,0.0854496692923733,0.0390048011184546,0.0216313948099292,0.158924606146928,0,0.281917996128879,0,0,0.0656564036307456,0,0.0178725755942678,0.0185522346371956,0.0589497735774368,0.0864973162565415,0.0516055512525308,0.0846085283575798,0.00465336794791635,0,0.0246757812492219,0,0,0,1.48917666884127,0.679757338786807,0.376981780411828,2.76966332975517,0,4.91313431448331,0,0,1.14422893917108,0,0.311474846040874,0.323319624351623,1.02734894320802,1.5074345676622,0.899357288850508,1.47451766002737,0.081096709173447,0,0.430037916191817,0,0,0,0.031075794939523,0.00693642772022501,0.0214963467288973,0,0.136548122748063,0.0201489792022863,0,0.0119889435991012,0.0122043638762467,0,0.759601021185657,0.343876141263991,0.236769121229522,0.0124152375264363,0.044334566610573,0,0.0207877129650499,0,0.00691575243884199,0.0224239159234809,0.0665116043962072,1.27913666136607e-18,0.0612464419723175,0.0107206395442454,0,0.0253386610880471,0.0327712555381999,5.44308721871539e-19,0.0313635345249665,0.00183194149966586,0.115110695716584,0.0317370683626517,0.0353997582996941,0.0131884921003589,0.0125033416542282,0.0672637279120171,0.00198828495015857,0.0169286057367044,0,0,0.0595300540300981,0.00593027110309734,0.0339548704060881,0.00136696028953447,0.0814620352917637,0.0197889853236941,3.67282482037135e-05,0.220506928805392,0.0495285973589327,0.270035526164325,0.0514022716396936,0.0106964696747645,0.194198118967441,0.10797955144682,0.123438718678744,0.00935502849474901,7.35910000246327e-10,0.502929840361878,7.48003190910671,8.01614317967778,5.08677876415273,2.7259030136686,10.3240603066923,9.39047261241106,9.39047261241106,7.48168989604593,6.11020645194769,8.18810858163717,11.2498999313387
